,FULL_CU_IN,LAT_C,LONG_C,CU_NAME,SP_QUAL,CU_TYPE,Shape_Leng,Shape_Area,species
245,SEL-13-06,49.75542063,-126.5099253,Deserted,SEL,Current,0.25722077,0.00243604,Lake_Type_Sockeye
246,SEL-13-07,48.5760241,-124.332958,Fairy,SEL,Current,0.644215549,0.004247241,Lake_Type_Sockeye
247,SEL-13-09,49.0283341,-125.0511539,Henderson,SEL,Current,0.824206437,0.017468445,Lake_Type_Sockeye
248,SEL-13-10,49.47403674,-126.402492,Hesquiat,SEL,Current,0.500952597,0.007714601,Lake_Type_Sockeye
249,SEL-13-11,48.77494949,-124.737037,Hobiton,SEL,Current,0.50632254,0.005144843,Lake_Type_Sockeye
250,SEL-13-12,50.11891865,-127.2944509,Jansen,SEL,Current,0.106457632,0.000381489,Lake_Type_Sockeye
251,SEL-13-13,49.39984683,-126.3495607,Kanim,SEL,Current,0.198128082,0.001474363,Lake_Type_Sockeye
252,SEL-13-14,49.14139801,-125.521806,Kennedy,SEL,Current,1.234210763,0.032411077,Lake_Type_Sockeye
253,SEL-13-15,48.98495147,-125.3934898,Maggie,SEL,Current,0.323487339,0.003839357,Lake_Type_Sockeye
254,SEL-13-16,49.43683073,-126.0849837,Megin,SEL,Current,0.677343503,0.007873758,Lake_Type_Sockeye
255,SEL-13-17,49.80151441,-126.1277736,Muchalat,SEL,Current,1.707003352,0.017038653,Lake_Type_Sockeye
256,SEL-13-18,49.12644536,-125.6288205,Muriel,SEL,Current,0.205056134,0.001847037,Lake_Type_Sockeye
257,SEL-13-19,48.73411099,-124.767349,Nitinat,SEL,Current,1.027214619,0.012885472,Lake_Type_Sockeye
258,SEL-13-20,50.45792818,-127.8652593,O'connell,SEL,Current,0.886235451,0.015370448,Lake_Type_Sockeye
259,SEL-13-22,49.8863339,-126.9887789,Park River,SEL,Current,0.217358555,0.002021167,Lake_Type_Sockeye
260,SEL-13-23,50.17997736,-127.4797426,Power,SEL,Current,0.45229128,0.006867553,Lake_Type_Sockeye
261,SEL-13-25,49.28801087,-124.9153347,Sproat,SEL,Current,1.416204608,0.028519354,Lake_Type_Sockeye
262,SEL-13-26,50.76837796,-128.348283,William/Brink,SEL,Current,0.71870627,0.0100962,Lake_Type_Sockeye
263,SEL-15-01,51.26033418,-127.1338996,Long,SEL,Current,1.267476548,0.018238965,Lake_Type_Sockeye
264,SEL-15-02,51.73533493,-126.7923704,Owikeno,SEL,Current,5.357416246,0.105456815,Lake_Type_Sockeye
265,SEL-15-03,51.68140177,-126.8567153,Owikeno-Late Timing,SEL,VREQ[Bin],0.299691878,0.002524262,Lake_Type_Sockeye
266,SEL-15-04,51.6791075,-127.2505923,Wannock[Owikeno],SEL,Current,0.318011784,0.00446798,Lake_Type_Sockeye
267,SEL-17-01,53.73262858,-132.4234356,Ain/Skundale/Ian,SEL,Current,1.2601687,0.026800172,Lake_Type_Sockeye
268,SEL-17-02,53.65318332,-132.5213481,Awun,SEL,Current,0.629304456,0.009790358,Lake_Type_Sockeye
269,SEL-17-03,52.71762168,-131.9815563,Fairfax,SEL,Current,0.169750718,0.001174962,Lake_Type_Sockeye
270,SEL-17-04,54.12777258,-132.8026367,Jalun,SEL,Current,1.076687689,0.016284856,Lake_Type_Sockeye
271,SEL-17-06,53.01751463,-131.7764512,Mathers,SEL,Current,0.552112378,0.010935251,Lake_Type_Sockeye
272,SEL-17-07,53.58313923,-132.9016718,Mercer,SEL,Current,0.495327166,0.00541935,Lake_Type_Sockeye
273,SEL-17-08,53.16135122,-131.8003491,Skidegate,SEL,Current,1.018585047,0.01973598,Lake_Type_Sockeye
274,SEL-17-09,53.65705152,-132.2059688,Yakoun,SEL,Current,1.063432258,0.011018153,Lake_Type_Sockeye
275,SEL-18-02,53.07332555,-128.5682631,Canoona,SEL,Current,0.514261077,0.007275843,Lake_Type_Sockeye
276,SEL-18-04,53.58428483,-128.9555479,Evelyn,SEL,Current,0.191851273,0.001548236,Lake_Type_Sockeye
277,SEL-18-05,52.7564471,-127.8771912,Kainet Creek,SEL,Current,0.361130135,0.005143305,Lake_Type_Sockeye
278,SEL-18-06,52.88314463,-127.0774113,Kimsquit,SEL,Current,0.274994174,0.003495835,Lake_Type_Sockeye
279,SEL-18-07,53.63855286,-129.2723196,Kitkiata,SEL,Current,0.516977841,0.010271336,Lake_Type_Sockeye
280,SEL-18-08,53.23865871,-127.8716627,Kitlope,SEL,Current,1.739943865,0.020839341,Lake_Type_Sockeye
281,SEL-18-09,52.65286361,-128.0513318,Pine River,SEL,Current,0.262226862,0.001770293,Lake_Type_Sockeye
282,SEL-19-01,53.37688132,-130.1989687,Banks,SEL,Current,0.833382998,0.01014087,Lake_Type_Sockeye
283,SEL-19-02,52.85706361,-128.6822633,Bloomfield,SEL,Current,0.418328089,0.005545596,Lake_Type_Sockeye
284,SEL-19-03,53.40866971,-129.939662,Bolton Creek,SEL,Current,0.41824346,0.001805368,Lake_Type_Sockeye
285,SEL-19-04,53.51032687,-130.298825,Bonilla,SEL,Current,0.39669595,0.003963811,Lake_Type_Sockeye
286,SEL-19-09,53.34316183,-129.5499999,Tuwartz,SEL,Current,0.372200615,0.004410764,Lake_Type_Sockeye
287,SEL-19-10,52.04410004,-128.0685235,Fannie Cove,SEL,Current,0.26869693,0.002440438,Lake_Type_Sockeye
288,SEL-19-11,53.50114363,-129.8630349,Curtis Inlet,SEL,Current,0.342527491,0.002539959,Lake_Type_Sockeye
289,SEL-19-14,53.45312215,-129.7726547,Devon,SEL,Current,0.26301411,0.002348087,Lake_Type_Sockeye
290,SEL-19-17,51.53727879,-127.7475024,Elsie/Hoy,SEL,Current,0.256910235,0.001647462,Lake_Type_Sockeye
291,SEL-19-18,53.59855521,-130.3604206,End Hill Creek,SEL,Current,0.428173835,0.003469505,Lake_Type_Sockeye
292,SEL-19-20,53.66919894,-129.7127569,Freeda/Brodie,SEL,Current,0.322535886,0.00333776,Lake_Type_Sockeye
293,SEL-19-23,52.50740738,-128.6815323,Higgins Lagoon,SEL,Current,0.262908222,0.001073928,Lake_Type_Sockeye
294,SEL-19-25,52.53099367,-129.0478249,Kdelmashan Creek,SEL,Current,0.528551542,0.00438338,Lake_Type_Sockeye
295,SEL-19-26,53.30959032,-129.8294049,Keecha,SEL,Current,0.62109005,0.008076306,Lake_Type_Sockeye
296,SEL-19-27,52.74149325,-128.9795617,Kent Inlet Lagoon Creek,SEL,Current,0.348222492,0.002592885,Lake_Type_Sockeye
297,SEL-19-31,51.94563092,-128.0202237,Kildidt Lagoon Creek,SEL,Current,0.122411191,0.000533492,Lake_Type_Sockeye
298,SEL-19-32,51.96670781,-127.878263,Kisameet,SEL,Current,0.491007982,0.004851085,Lake_Type_Sockeye
299,SEL-19-33,51.77628466,-127.8761773,Koeye,SEL,Current,1.269430396,0.01601018,Lake_Type_Sockeye
300,SEL-19-34,53.34185008,-129.8835326,Kooryet,SEL,Current,0.549042882,0.006237755,Lake_Type_Sockeye
301,SEL-19-36,52.55726067,-128.6516429,Kwakwa Creek,SEL,Current,0.59458009,0.003703116,Lake_Type_Sockeye
302,SEL-19-38,52.69269128,-129.0614199,Limestone Creek,SEL,Current,0.413704548,0.003278598,Lake_Type_Sockeye
303,SEL-19-40,52.6175871,-128.4349191,Mary Cove Creek,SEL,Current,0.199673351,0.00176603,Lake_Type_Sockeye
304,SEL-19-43,53.43160234,-129.826526,Mikado,SEL,Current,0.427824797,0.0032503,Lake_Type_Sockeye
305,SEL-19-45,51.85632303,-127.8656458,Namu,SEL,Current,0.596920185,0.009017171,Lake_Type_Sockeye
306,SEL-19-46,52.12406444,-127.8392708,Port John,SEL,Current,0.224959651,0.001987089,Lake_Type_Sockeye
307,SEL-19-47,52.70288154,-128.7424621,Powles Creek,SEL,Current,0.355955159,0.004345904,Lake_Type_Sockeye
308,SEL-19-49,54.24348663,-130.1523592,Prudhomme,SEL,Current,0.773571191,0.014777854,Lake_Type_Sockeye
309,SEL-19-51,53.6182777,-130.1287694,Ryan Creek,SEL,Current,0.439707654,0.003391876,Lake_Type_Sockeye
310,SEL-19-52,53.5677494,-129.6566889,Salter,SEL,Current,0.495418888,0.006230638,Lake_Type_Sockeye
311,SEL-19-53,53.81321606,-130.1717687,Scoular/Kilpatrick,SEL,Current,0.42765896,0.006317333,Lake_Type_Sockeye
312,SEL-19-54,54.32418707,-130.2553853,Shawatlan,SEL,Current,0.440989338,0.006541693,Lake_Type_Sockeye
313,SEL-19-57,53.51682557,-130.1232069,Spencer Creek,SEL,Current,0.191617933,0.00148483,Lake_Type_Sockeye
314,SEL-19-59,52.71935107,-128.9784323,Talamoosa Creek,SEL,Current,0.212456121,0.001602571,Lake_Type_Sockeye
315,SEL-19-60,52.30587326,-128.2577735,Tankeeah River,SEL,Current,0.366067926,0.003959058,Lake_Type_Sockeye
316,SEL-19-62,53.38100392,-129.465929,Tsimtack/Lakes,SEL,Current,0.598641926,0.00914654,Lake_Type_Sockeye
317,SEL-19-64,52.29723969,-128.3569893,Tuno Creek West,SEL,Current,0.199427813,0.000615843,Lake_Type_Sockeye
318,SEL-19-66,52.83857448,-129.0019183,Wale Creek,SEL,Current,0.408004953,0.004632866,Lake_Type_Sockeye
319,SEL-19-70,52.301115,-128.1188097,Yeo,SEL,Current,0.26479086,0.002698006,Lake_Type_Sockeye
320,SEL-20-01,54.11763879,-129.1904131,Alastair,SEL,Current,1.22427708,0.022698085,Lake_Type_Sockeye
321,SEL-20-04,54.16636059,-129.9584096,Ecstall/Lower,SEL,Current,0.545544707,0.007685313,Lake_Type_Sockeye
322,SEL-20-05,53.8611371,-129.4856999,Johnston,SEL,Current,0.429828125,0.007408676,Lake_Type_Sockeye
323,SEL-20-06,54.77920407,-128.7861933,Kitsumkalum,SEL,Current,3.715957916,0.15731091,Lake_Type_Sockeye
324,SEL-20-07,54.38136394,-128.5534437,Lakelse,SEL,Current,1.766943313,0.06982542,Lake_Type_Sockeye
325,SEL-20-08,54.47786812,-127.9335934,Mcdonell,SEL,Current,0.883822789,0.010592293,Lake_Type_Sockeye
326,SEL-21-02,54.88474521,-126.0470499,Babine,SEL,Current,9.453420016,0.441596961,Lake_Type_Sockeye
327,SEL-21-03,54.38155478,-126.1255913,Bulkley,SEL,Current,1.652200964,0.028171193,Lake_Type_Sockeye
328,SEL-21-05,55.20413941,-128.0905758,Kitwancool,SEL,Current,2.18142407,0.067275343,Lake_Type_Sockeye
329,SEL-21-07,54.15830699,-127.3513175,Morice,SEL,Current,3.209303537,0.213489627,Lake_Type_Sockeye
330,SEL-21-09,55.79847493,-128.6301159,Stephens,SEL,Current,1.005622198,0.020660214,Lake_Type_Sockeye
331,SEL-21-11,55.31434709,-126.4471387,Tahlo/Morrison,SEL,Current,1.38656318,0.02917041,Lake_Type_Sockeye
332,SEL-21-12,55.73102419,-128.4700515,Footsore/Hodder,SEL,Current,0.3519918,0.00347335,Lake_Type_Sockeye
333,SEL-22-01,56.39390601,-126.7896884,Asitika,SEL,Current,0.492434487,0.008255364,Lake_Type_Sockeye
334,SEL-22-02,56.09783052,-126.7554938,Azuklotz,SEL,Current,0.45731776,0.006243431,Lake_Type_Sockeye
335,SEL-22-03,56.19969373,-126.8887679,Bear,SEL,Current,1.355448804,0.050236282,Lake_Type_Sockeye
336,SEL-22-04,56.39726515,-127.9224364,Damshilgwit,SEL,Current,0.712051913,0.01083752,Lake_Type_Sockeye
337,SEL-22-05,56.6451417,-126.4961829,Johanson,SEL,Current,0.479643694,0.007929082,Lake_Type_Sockeye
338,SEL-22-06,56.82963392,-128.1487915,Kluatantan,SEL,Current,0.768603616,0.014848334,Lake_Type_Sockeye
339,SEL-22-07,57.01181544,-128.1962664,Kluayaz,SEL,Current,0.879053714,0.018412049,Lake_Type_Sockeye
340,SEL-22-08,56.04743919,-127.0237837,Motase,SEL,Current,0.764724971,0.018962197,Lake_Type_Sockeye
341,SEL-22-09,56.04196906,-127.9587637,Sicintine,SEL,Current,0.884602995,0.01056286,Lake_Type_Sockeye
342,SEL-22-10,56.34421686,-127.8473098,Slamgeesh,SEL,Current,0.283598703,0.002257643,Lake_Type_Sockeye
343,SEL-22-11,56.57940781,-126.2624969,Spawning,SEL,Current,0.357746672,0.004556584,Lake_Type_Sockeye
344,SEL-22-12,56.31704254,-127.363762,Sustut,SEL,Current,0.588007948,0.010086097,Lake_Type_Sockeye
345,SEL-24-01,56.35917746,-129.318774,Bowser,SEL,Current,2.654166044,0.031786879,Lake_Type_Sockeye
346,SEL-24-02,56.53188728,-128.3167996,Damdochax/Winimasik,SEL,Current,1.49857931,0.015638673,Lake_Type_Sockeye
347,SEL-24-03,56.19342506,-128.7949123,Fred Wright,SEL,Current,0.844990749,0.011110251,Lake_Type_Sockeye
348,SEL-24-05,56.02365783,-129.1480702,Meziadin,SEL,Current,1.766458593,0.030894421,Lake_Type_Sockeye
349,SEL-24-06,56.62797969,-129.7013315,Oweegee,SEL,Current,0.459502254,0.008199783,Lake_Type_Sockeye
350,SEL-26-01,57.24130661,-131.8530702,Christina,SEL,Current,0.858154324,0.020975435,Lake_Type_Sockeye
351,SEL-26-02,58.00994991,-130.9812919,Tahltan,SEL,Current,2.744874113,0.035181289,Lake_Type_Sockeye
352,SEL-26-03,57.65300133,-131.6324045,Chutine,SEL,Current,3.963177172,0.067067619,Lake_Type_Sockeye
353,SEL-28-01,59.23088759,-133.2336383,Kuthai,SEL,Current,0.435200074,0.007542529,Lake_Type_Sockeye
354,SEL-28-02,58.49610145,-132.6049502,Little Trapper,SEL,Current,0.774626177,0.005784349,Lake_Type_Sockeye
355,SEL-28-03,58.4400493,-132.3948794,Tatsamenie,SEL,Current,2.228621253,0.039890819,Lake_Type_Sockeye
356,SEL-28-05,58.71621714,-132.9435494,King Salmon,SEL,Current,0.827869512,0.012465106,Lake_Type_Sockeye
357,SEL-30-02,60.11586335,-137.0362158,Klukshu,SEL,Current,0.774808978,0.017294968,Lake_Type_Sockeye
358,SEL-30-03,60.17402559,-137.0754633,Neskatahin,SEL,Current,0.243233999,0.001828891,Lake_Type_Sockeye
359,SEL-12-09,NA,NA,Vernon,SEL,Current,0.517721358,0.007257964,Lake_Type_Sockeye
360,SEL-16-01,NA,NA,South Atnarko Lakes,SEL,Current,2.286360471,0.041354616,Lake_Type_Sockeye
361,SEL-20-02,NA,NA,Aldrich,SEL,Current,0.301448973,0.003194031,Lake_Type_Sockeye
362,SEL-20-03,NA,NA,Dennis,SEL,Current,0.528657892,0.005878128,Lake_Type_Sockeye
363,SEL-24-04,NA,NA,Kwinageese,SEL,Current,0.251061973,0.001979979,Lake_Type_Sockeye
364,SEL-25-01,NA,NA,Border,SEL,Current,0.241084504,0.001963846,Lake_Type_Sockeye
365,SEL-27-01,NA,NA,Whiting,SEL,Current,1.622452914,0.020712941,Lake_Type_Sockeye
366,SEL-12-06,NA,NA,Schoen,SEL,Current,0.670758917,0.011404079,Lake_Type_Sockeye
367,SEL-12-08,NA,NA,Woss,SEL,Current,0.979978045,0.021673254,Lake_Type_Sockeye
368,SEL-13-08,NA,NA,Great Central,SEL,Current,2.59860912,0.051148459,Lake_Type_Sockeye
369,SEL-17-10,NA,NA,Marie,SEL,Current,0.346890836,0.004351632,Lake_Type_Sockeye
370,SEL-21-01,NA,NA,Atna,SEL,Current,1.291999843,0.038871524,Lake_Type_Sockeye
371,SEL-21-06,NA,NA,Maxan,SEL,Current,1.471361479,0.037785076,Lake_Type_Sockeye
372,SEL-30-01,NA,NA,Blanchard,SEL,Current,1.39571739,0.015972836,Lake_Type_Sockeye
373,SER-02,49.34346292,-122.6468438,Widgeon,SER,Current,0.210803124,0.001561792,River_Type_Sockeye
374,SER-03,49.22891514,-121.946601,Harrison River,SER,Current,0.685274412,0.009696065,River_Type_Sockeye
375,SER-08,49.95754062,-124.9173935,East Vancouver Island & Georgia Strait,SER,Current,82.17377923,3.955603538,River_Type_Sockeye
376,SER-09,50.71040692,-125.7978156,Southern Fjords,SER,Current,70.75218367,3.479474271,River_Type_Sockeye
377,SER-10,49.48518476,-126.0759588,West Vancouver Island,SER,Current,56.89908889,1.838932238,River_Type_Sockeye
378,SER-11,50.47931578,-127.7283104,NW Vancouver Island,SER,Current,15.00491613,0.364828804,River_Type_Sockeye
379,SER-12,51.60034821,-127.2601082,Rivers-Smith Inlets,SER,Current,9.488533998,0.866331617,River_Type_Sockeye
380,SER-13,52.92254384,-131.9754406,East Haida Gwaii,SER,Current,28.39977094,0.453065365,River_Type_Sockeye
381,SER-14,53.09083556,-132.3133639,West Haida Gwaii,SER,Current,31.34043135,0.410879977,River_Type_Sockeye
382,SER-15,53.59394051,-132.3980665,North Haida Gwaii,SER,Current,13.40837653,0.493284314,River_Type_Sockeye
383,SER-16,53.16602553,-128.4621431,Northern Coastal Fjords,SER,Current,72.22379412,5.321064469,River_Type_Sockeye
384,SER-17,52.64272083,-128.7122614,Northern Coastal Streams,SER,Current,142.0278183,1.398483415,River_Type_Sockeye
385,SER-18,54.91219066,-128.1904839,Skeena River,SER,Current,28.66075505,5.836524116,River_Type_Sockeye
386,SER-19,55.81481752,-128.6952903,Skeena River-High Interior,SER,Current,15.81301373,1.838213583,River_Type_Sockeye
387,SER-20,55.02403178,-129.5979745,Lower Nass-Portland,SER,Current,23.42979852,1.418726841,River_Type_Sockeye
388,SER-21,55.59777137,-128.8865293,Upper Nass River,SER,Current,16.26813074,2.585600177,River_Type_Sockeye
389,SER-22,57.60581981,-131.8055843,Northern Transboundary Fjords,SER,Current,22.85443434,6.530839254,River_Type_Sockeye
390,SER-24,59.68029743,-137.6033644,Alsek River,SER,Current,9.029804495,0.996866689,River_Type_Sockeye
391,SER-23,NA,NA,Chilkat River,SER,Current,3.891652604,0.25066092,River_Type_Sockeye
